Year,BALTIMORE,BECKLEY,FORT DIX,FORT LEE,HARRISBURG,PITTSBURGH,PITTSBURGH,CHICAGO,CLEVELAND,COLUMBUS,DES MOINES,DETROIT,INDIANAPOLIS,LANSING,MILWAUKEE,MINNEAPOLIS,ALBANY,BOSTON,BUFFALO,NEW YORK ,"PORTLAND, ME",SPRINGFIELD,SYRACUSE,ANCHORAGE,BOISE,BUTTE,FARGO,"PORTLAND, OR",SEATTLE,SIOUX FALLS,SPOKANE,DENVER,HONOLULU,LOS ANGELES,PHOENIX,SACRAMENTO,SALT LAKE CITY,SAN DIEGO,SAN JOSE,ATLANTA,CHARLOTTE,FORT JACKSON,JACKSON,JACKSONVILLE,KNOXVILLE,LOUISVILLE,MEMPHIS,MIAMI,MONTGOMERY,NASHVILLE,RALEIGH,TAMPA,ALBUQUERQUE,AMARILLO,DALLAS,EL PASO,HOUSTON,KANSAS CITY,LITTLE ROCK,NEW ORLEANS,OKLAHOMA CITY,OMAHA,SAN ANTONIO,SHREVEPORT,ST. LOUIS 
13-Nov,0%,0%,0%,7%,69%,87%,87%,17%,52%,83%,81%,0%,0%,57%,85%,0%,85%,25%,79%,76%,73%,76%,0%,0%,0%,100%,0%,69%,17%,91%,94%,13%,0%,0%,69%,52%,0%,0%,0%,0%,0%,2%,45%,0%,25%,67%,90%,0%,60%,92%,73%,11%,90%,53%,87%,0%,64%,0%,30%,25%,0%,75%,1%,0%,0%
13-Dec,0%,0%,0%,1%,62%,86%,86%,0%,79%,85%,76%,14%,12%,29%,90%,0%,86%,60%,59%,78%,45%,74%,0%,0%,0%,89%,0%,84%,0%,70%,93%,0%,0%,0%,68%,55%,0%,0%,0%,0%,0%,5%,63%,0%,39%,80%,56%,0%,62%,71%,72%,12%,85%,8%,92%,0%,44%,0%,16%,7%,0%,77%,0%,0%,0%
14-Jan,0%,0%,0%,1%,24%,88%,88%,0%,87%,92%,63%,76%,0%,15%,92%,3%,78%,48%,86%,66%,33%,38%,0%,0%,0%,68%,0%,81%,0%,78%,95%,0%,0%,0%,31%,47%,0%,0%,0%,0%,1%,0%,72%,0%,23%,86%,76%,0%,70%,76%,68%,13%,91%,16%,88%,0%,59%,1%,14%,0%,0%,67%,0%,0%,0%
14-Feb,0%,0%,0%,0%,61%,91%,91%,0%,55%,81%,73%,70%,0%,4%,92%,0%,70%,44%,80%,54%,9%,0%,4%,0%,0%,92%,17%,59%,0%,56%,96%,0%,0%,0%,45%,46%,0%,0%,0%,0%,0%,0%,35%,0%,32%,77%,90%,0%,62%,88%,70%,11%,94%,13%,90%,0%,60%,0%,0%,1%,0%,64%,0%,0%,0%
14-Mar,0%,0%,0%,0%,2%,96%,96%,0%,25%,76%,65%,78%,0%,6%,90%,0%,63%,67%,96%,66%,21%,0%,0%,0%,0%,85%,14%,59%,1%,67%,52%,0%,0%,0%,15%,46%,0%,0%,0%,0%,0%,0%,24%,0%,8%,66%,65%,0%,54%,74%,73%,11%,92%,45%,86%,0%,59%,0%,0%,0%,1%,92%,0%,0%,0%
14-Apr,1%,0%,0%,0%,37%,84%,84%,57%,49%,83%,77%,66%,0%,0%,91%,0%,64%,65%,79%,35%,19%,60%,0%,0%,0%,91%,0%,69%,0%,71%,89%,0%,0%,0%,0%,50%,0%,0%,10%,0%,0%,0%,39%,49%,17%,82%,62%,0%,60%,91%,70%,6%,0%,0%,74%,0%,28%,63%,0%,0%,18%,0%,17%,0%,0%
14-May,0%,0%,0%,0%,19%,98%,98%,55%,12%,86%,61%,71%,1%,2%,92%,0%,76%,68%,29%,43%,26%,70%,0%,0%,0%,89%,0%,47%,0%,75%,83%,0%,0%,0%,2%,49%,0%,0%,16%,0%,0%,0%,79%,31%,78%,72%,76%,0%,57%,83%,80%,8%,24%,33%,80%,0%,48%,76%,0%,0%,0%,64%,17%,0%,0%
14-Jun,0%,0%,0%,0%,2%,75%,75%,12%,41%,84%,62%,75%,46%,25%,91%,0%,87%,72%,60%,45%,25%,74%,0%,0%,0%,85%,0%,73%,0%,76%,72%,7%,0%,0%,25%,49%,0%,1%,32%,0%,0%,0%,76%,16%,68%,47%,87%,0%,44%,84%,71%,9%,96%,0%,82%,0%,51%,67%,20%,32%,0%,70%,5%,0%,0%
14-Jul,0%,0%,0%,0%,13%,90%,90%,2%,77%,84%,81%,71%,58%,34%,86%,0%,83%,35%,38%,63%,25%,24%,0%,0%,0%,79%,0%,61%,0%,53%,69%,39%,0%,0%,37%,48%,12%,7%,28%,0%,0%,0%,42%,25%,79%,74%,68%,0%,53%,77%,70%,10%,89%,25%,82%,0%,34%,69%,17%,1%,0%,13%,11%,14%,15%
14-Aug,0%,0%,0%,50%,29%,97%,97%,0%,67%,68%,76%,90%,61%,14%,95%,52%,83%,30%,36%,75%,18%,3%,8%,0%,0%,93%,0%,69%,0%,80%,81%,50%,0%,0%,51%,57%,28%,0%,28%,0%,1%,37%,74%,19%,81%,50%,75%,8%,44%,93%,76%,30%,89%,39%,86%,0%,45%,74%,30%,15%,0%,67%,2%,22%,28%
14-Sep,2%,0%,0%,70%,0%,91%,91%,0%,70%,82%,62%,76%,64%,3%,87%,68%,79%,20%,60%,50%,8%,40%,0%,0%,0%,81%,0%,82%,0%,75%,100%,51%,0%,0%,57%,60%,22%,0%,8%,0%,0%,50%,65%,6%,77%,71%,68%,8%,32%,89%,68%,12%,93%,22%,83%,0%,44%,68%,97%,39%,2%,72%,0%,0%,0%
14-Oct,0%,0%,0%,68%,82%,89%,89%,71%,85%,78%,76%,81%,86%,54%,93%,60%,82%,0%,63%,45%,15%,0%,8%,50%,65%,81%,0%,97%,60%,82%,93%,71%,21%,3%,69%,73%,11%,0%,36%,68%,0%,58%,81%,0%,89%,58%,86%,0%,65%,84%,75%,12%,88%,59%,85%,50%,48%,81%,90%,78%,28%,89%,0%,0%,33%
14-Nov,0%,0%,0%,81%,77%,98%,98%,84%,73%,83%,50%,76%,82%,53%,98%,74%,70%,0%,0%,20%,25%,75%,48%,82%,40%,93%,0%,90%,40%,85%,88%,72%,89%,1%,81%,69%,14%,0%,23%,55%,76%,36%,79%,0%,79%,65%,81%,0%,43%,87%,73%,12%,96%,52%,89%,72%,78%,78%,97%,22%,67%,94%,1%,0%,55%
14-Dec,0%,0%,0%,80%,80%,89%,89%,72%,74%,83%,43%,76%,75%,35%,98%,82%,92%,0%,13%,14%,19%,68%,50%,7%,24%,90%,0%,85%,22%,61%,78%,65%,39%,0%,77%,86%,14%,0%,2%,41%,78%,27%,54%,0%,95%,77%,92%,0%,45%,83%,69%,9%,92%,11%,91%,90%,79%,73%,93%,0%,43%,64%,0%,0%,38%
